Name,Year,Group,Status,Birth Date,Birth Place,Birth Place Copy,latitue,logtitude,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Donn F. Eisele,1963,3,Deceased,5/23/1930,"Columbus, OH",Columbus,39.9833,-82.9833,Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,12/2/1987,
Michael J. Foreman,1998,17,Management,3/29/1957,"Columbus, OH",Columbus,39.9833,-82.9833,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Robert L. Gibson,1978,8,Retired,10/30/1946,"Cooperstown, NY",Cooperstown,42.6972,-74.9269,Male,California Polytechnic Institute,Aeronautical Engineering,,Captain,US Navy (Retired),5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
James S. Voss,1987,12,Retired,3/3/1949,"Cordova, AL",Cordova,33.7617,-87.1877,Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Joseph P. Allen,1967,6,Retired,6/27/1937,"Crawsfordsville, IN",Crawfordsville,40.0389,-86.8967,Male,DePauw University; Yale University,Mathematics & Physics,Physics,,,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",,
Walter Cunningham,1963,3,Retired,3/16/1932,"Creston, IA",Creston,41.0592,-94.3644,Male,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
Robert L. Behnken,2000,18,Active,7/28/1970,"Creve Couer, MO",Creve Coeur,38.6672,-90.4425,Male,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Piers J. Sellers,1996,16,Management,4/11/1955,"Crowborough, England",Crowborough,51.06,0.16,Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Jerry L. Ross,1980,9,Retired,1/20/1948,"Crown Point, IN",Crown Point,41.4217,-87.3561,Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Jeffrey S. Ashby,1995,15,Retired,6/1/1954,"Dallas, TX",Dallas,32.7758,-96.7967,Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
William F. Fisher,1980,9,Retired,4/1/1946,"Dallas, TX",Dallas,32.7758,-96.7967,Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,,1,170,2,12,STS 51-I (Discovery),,
Donald L. Holmquest,1967,6,Retired,4/7/1939,"Dallas, TX",Dallas,32.7758,-96.7967,Male,Southern Methodist University; Baylor University; University of Houston,Electrical Engineering,Physiology; Medicine; Law,,,0,0,0,0,,,
Elliot M. See Jr. ,1962,2,Deceased,7/23/1927,"Dallas, TX",Dallas,32.7758,-96.7967,Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,,,0,0,0,0,,2/28/1966,
Joseph R. Tanner,1992,14,Retired,1/21/1950,"Danville, IL",Danville,40.1244,-87.63,Male,University of Illinois,Mechanical Engineering,,,,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Charles A. Bassett II ,1963,3,Deceased,12/30/1931,"Dayton, OH",Dayton,39.761,-84.1922,Male,Texas Technological College,Electrical Engineering,,Captain,US Air Force,0,0,0,0,,2/28/1966,
Mae C. Jemison,1987,12,Retired,10/17/1956,"Decatur, AL",Decatur,34.6058,-86.9833,Female,Stanford University; Cornell University,Chemical Engineering,Medicine,,,1,190,0,0,STS-47 (Endeavor),,
Kent V. Rominger,1992,14,Retired,8/7/1956,"Del Norte, CO",Del Norte,37.6788919,-106.3533683,Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Gregory T. Linteris,,,Retired,10/4/1957,"Demarest, NJ",Demarest,40.9572,-73.9619,Male,Princeton University; Stanford University,Chemical Engineering,Mechanical Engineering; Mechanical & Aerospace Engineering,,,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Gerald P. Carr,1966,5,Retired,8/22/1932,"Denver, CO",Denver,35.53125,-81.0298,Male,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,2017,3,16,Skylab 4,,
J. Mike Lounge,1980,9,Deceased,6/28/1946,"Denver, CO",Denver,35.53125,-81.0298,Male,US Naval Academy; University of Colorado,Mathematics & Physics,Astrogeophysics,,,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)",3/1/2011,
John L. Swigert Jr. ,1966,5,Deceased,8/30/1931,"Denver, CO",Denver,35.53125,-81.0298,Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,,,1,142,0,0,Apollo 13,12/27/1982,
Dominic A. Antonelli,2000,18,Active,8/23/1967,"Detroit, MI",Detroit,42.3329,-83.0478,Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",,
Gregory B. Jarvis,,,Deceased,8/24/1944,"Detroit, MI",Detroit,42.3329,-83.0478,Male,State University of New York at Buffalo; Northeastern University,Electrical Engineering,Electrical Engineering,,,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Joe H. Engle,1966,5,Retired,8/26/1932,"Dickinson, KS",Dickinson,38.8505977,-97.179026,Male,University of Kansas,Aeronautical Engineering,,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
Stuart A. Roosa,1966,5,Deceased,8/16/1933,"Durango, CO",Durango,37.27528,-107.8800667,Male,University of Colorado,Aeronautical Engineering,,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,12/12/1994,
Alan B. Shepard Jr. ,1959,1,Deceased,11/18/1923,"East Derry, NH",East Derry,42.8943,-71.296,Male,US Naval Academy,Naval Sciences,,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",7/21/1998,
Patrick G. Forrester,1996,16,Management,3/31/1957,"El Paso, TX",El Paso,31.7903,-106.4233,Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Curtis L. Brown Jr. ,1987,12,Retired,3/11/1956,"Elizabethtown, NC",Elizabethtown,34.6294,-78.6074,Male,US Air Force Academy,Electrical Engineering,,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
Eileen M. Collins,1990,13,Retired,11/19/1959,"Elmira, NY",Elmira,42.0898,-76.8083,Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
Douglas G. Hurley,2000,18,Active,10/21/1966,"Endicott, NY",Endicott,42.1031,-76.0547,Male,Tulane University,Civil Engineering,,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
Owen K. Garriott,1965,4,Retired,11/22/1930,"Enid, OK",Enid,36.4006,-97.8808,Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",,
Paul J. Weitz,1966,5,Retired,6/25/1932,"Erie, PA",Erie,42.1296,-80.0852,Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2,"Skylab 2, STS-6 (Challenger)",,
Sunita L. Williams,1998,17,Active,9/19/1965,"Euclid, OH",Euclid,41.5956,-81.5192,Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
James P. Dutton Jr. ,2004,19,Management,11/20/1968,"Eugene, OR",Eugene,44.0522,-123.0912,Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),,
Dale A. Gardner,1978,8,Retired,11/8/1948,"Fairmont, MN",Fairmont,43.6522,-94.4611,Male,University of Illinois,Engineering Physics,,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",,
William E. Thornton,1967,6,Retired,4/14/1929,"Faison, NC",Faison,35.1152,-78.1374,Male,University of North Carolina,Physics,Medicine,,,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
Mark T. Vande Hei,2009,20,Active,11/10/1966,"Falls Church, VA",Falls Church,38.882334,-77.1710914,Male,Saint John’s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0,,,
Kathleen Rubins,2009,20,Active,10/14/1978,"Farmington, CT",Farmington,41.7278,-72.8403,Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,,1,2762,2,13,ISS-48/49 (Soyuz),,
Richard H. Truly,1969,7,Retired,11/12/1937,"Fayette, MS",Fayette,31.71,-91.0621,Male,Georgia Institute of Technology,Aeronautical Engineering,,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",,
Ellen S. Baker,1984,10,Retired,4/27/1953,"Fayettesville, NC",Opal,38.6208,-77.8,Female,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,,,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)",,
Richard O. Covey,1978,8,Retired,8/1/1946,"Fayetteville, AR",Fayetteville,36.0764,-94.1608,Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Michael J. Bloomfield,1995,15,Retired,3/16/1959,"Flint, MI",Flint,43.0099,-83.6851,Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
Donald R. McMonagle,1987,12,Retired,5/14/1952,"Flint, MI",Flint,43.0099,-83.6851,Male,US Air Force Academy; California State University-Fresno,Astronautical Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)",,
James D. Wetherbee,1984,10,Retired,11/27/1952,"Flushing, NY",Flushing,40.7615,-73.8311,Male,University of Notre Dame,Aerospace Engineering,,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
Randolph J. Bresnik,2004,19,Active,9/11/1967,"Fort Knox, KY",Fort Knox,37.92,-85.96,Male,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,1,259,2,12,STS-129 (Atlantis),,
Stephen D. Thorne,1985,11,Deceased,2/11/1953,"Frankfurt, West Germany",Frankfurt,50.1109,8.6795,Male,US Naval Academy,Engineering,,Lieutenant Commander,US Navy,0,0,0,0,,5/24/1986,
Jose M. Hernandez,2004,19,Retired,8/7/1962,"French Camp, CA",French Camp,37.8828,-121.2797,Male,University of the Pacific; University of California-Santa Barbara,Electrical Engineering,Electrical & Computer Engineering,,,1,332,0,0,STS-128 (Discovery),,
Barbara R. Morgan,1998,17,Retired,11/28/1951,"Fresno, CA",Fresno,36.7317,-119.7859,Female,Stanford University,Human Biology,,,,1,305,0,0,STS-118 (Endeavor),,
James D. van Hoften,1978,8,Retired,6/11/1944,"Fresno, CA",Fresno,36.7317,-119.7859,Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
William A. Oefelein,1998,17,Retired,3/29/1965,"Ft. Belvoir, VA",Fort Belvoir,38.7197,-77.1546,Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),,
John L. Phillips,1996,16,Retired,4/15/1951,"Ft. Belvoir, VA",Fort Belvoir,38.7197,-77.1546,Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
Timothy J. Creamer,1998,17,Management,11/15/1959,"Ft. Huachuca, AZ",Fort Huachuca,31.5554,-110.3498,Male,Loyola College; MIT,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
Frank Borman,1962,2,Retired,3/14/1928,"Gary, IN",Gary,41.5956,-87.3453,Male,US Military Academy; California Institute of Technology,,Aeronautical Engineering,Colonel,US Air Force (Retired),2,477,0,0,"Gemini 7, Apollo 8",,
John M. Fabian,1978,8,Retired,1/28/1939,"Goosecreek, TX",Baytown,29.7439,-94.9658,Male,Washington State University; US Air Force Institute of Technology; University of Washington,Mechanical Engineering,Aerospace Engineering; Aeronautics & Astronautics,Colonel,US Air Force (Retired),2,316,0,0,"STS-7 (Challenger), STS 51-G (Discovery)",,
Roger B. Chaffee,1963,3,Deceased,2/15/1935,"Grand Rapids, MI",Grand Rapids,42.9655,-85.6702,Male,Purdue University,Aeronautical Engineering,,Lieutenant Commander,US Navy,1,0,0,0,Apollo 1,1/27/1967,Apollo 1
Jack R. Lousma,1966,5,Retired,2/29/1936,"Grand Rapids, MI",Grand Rapids,42.9655,-85.6702,Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11,"Skylab 3, STS-3 (Columbia)",,
John H. Casper,1984,10,Management,7/9/1943,"Greenville, SC",Greenville,34.8444,-82.3856,Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Colonel,US Air Force (Retired),4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",,
Pierre J. Thuot,1985,11,Retired,5/19/1955,"Groton, CT",Groton,41.3437,-72.0788,Male,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
William A. Pailes,,,Retired,6/26/1952,"Hackensack, NJ",Hackensack,40.8894,-74.0457,Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),,
Walter M. Schirra Jr. ,1959,1,Deceased,3/12/1923,"Hackensack, NJ",Hackensack,40.8894,-74.0457,Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",5/2/2007,
Robert L. Satcher Jr. ,2004,19,Retired,9/22/1965,"Hampton, VA",Hampton,37.0298687,-76.3452218,Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,,1,259,2,12,STS-129 (Atlantis),,
Sherwood C. Spring,1980,9,Retired,9/23/1944,"Hartford, CT",Hartford,41.7658,-72.6734,Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),,
Theodore C. Freeman,1963,3,Deceased,2/18/1930,"Haversford, PA",Haverford,40.0131,-75.2944,Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,,10/31/1964,
Edgar D. Mitchell,1966,5,Retired,9/17/1930,"Hereford, TX",Hereford,34.8219,-102.3986,Male,Carnegie-Mellon University; US Naval Postgraduate School; MIT,Industrial Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Navy (Retired),1,216,2,9,Apollo 14,,
William A. Anders,1963,3,Retired,10/17/1933,Hong Kong,Hong Kong,22.3193039,114.1693611,Male,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,,
K. Megan McArthur,2000,18,Active,8/30/1971,"Honolulu, HI",Honolulu,21.3099,-157.8582,Female,University of California-Los Angeles; University of California-San Diego,Aerospace Engineering,Oceanography,,,1,309,0,0,STS-125 (Atlantis),,
Shannon Walker,2004,19,Active,6/4/1965,"Houston, TX",Houston,29.7628,-95.3831,Female,Rice University,Space Physics,Space Physics,,,1,3919,0,0,ISS-24/25 (Soyuz),,
Patricia Hilliard Robertson,1998,17,Deceased,3/12/1963,"Indiana, PA",Indiana,40.6167,-79.15,Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,,,0,0,0,0,,5/24/2001,
Serena M. Aunon,2009,20,Active,4/9/1976,"Indianapolis, IN",Indianapolis,39.791,-86.148,Female,George Washington University; University of Texas,Electrical Engineering,Medicine,,,0,0,0,0,,,
Anthony W. England,1967,6,Retired,5/15/1942,"Indianapolis, IN",Indianapolis,39.791,-86.148,Male,MIT,Geology,Geology; Geophysics,,,1,190,0,0,STS 51-F (Challenger),,
David A. Wolf,1990,13,Retired,8/23/1956,"Indianapolis, IN",Indianapolis,39.791,-86.148,Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Joseph M. Acaba,2004,19,Active,5/17/1967,"Inglewood, CA",Inglewood,33.9618,-118.3533,Male,University of California-Santa Barbara; University of Arizona,Geology,Geology,,,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
Alfred M. Worden,1966,5,Retired,2/7/1932,"Jackson, MI",Jackson,42.2458,-84.4014,Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
Wendy B. Lawrence,1992,14,Retired,7/2/1959,"Jacksonville, FL",Jacksonville,30.3369,-81.6614,Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
Richard J. Hieb,1985,11,Retired,9/21/1955,"Jamestown, ND",Jamestown,46.9116,-98.7086,Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,,,3,766,3,18,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Roger K. Crouch,,,Retired,9/12/1940,"Jamestown, TN",Jamestown,36.4292,-84.9325,Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,,,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
Loren J. Shriver,1978,8,Retired,9/23/1944,"Jefferson, IA",Jefferson,42.0153,-94.3774,Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
George D. Zamka,1998,17,Retired,6/29/1962,"Jersey City, NJ",Jersey City,40.714,-74.071,Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,Colonel,US Marine Corps (Retired),2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
Taylor G. Wang,,,Retired,6/16/1940,"Jiangxi, China",Jiangxi,27.0874564,114.9042208,Male,University of California at Los Angeles,Physics,Physics,,,1,168,0,0,STS 51-B (Challenger),,
Kalpana Chawla,1995,15,Deceased,6/1/1961,"Karnal, India",Karnal,29.6902,77.0051,Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,,,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Ellison S. Onizuka,1978,8,Deceased,6/24/1946,"Kealakekua, HI",Kealakekua,19.521,-155.9205,Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Richard N. Richards,1980,9,Retired,8/24/1946,"Key West, FL",Key West,24.5592,-81.784,Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Robert Shane Kimbrough,2004,19,Active,6/4/1967,"Killeen, TX",Killeen,31.1178,-97.7311,Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,3,3720,4,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Frederick W. Sturckow,1995,15,Retired,8/11/1961,"La Mesa, CA",La Mesa,32.7714,-117.0228,Male,California Polytechnic State University,Mechanical Engineering,,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
F. Curtis Michel,1965,4,Retired,6/5/1934,"LaCrosse, WI",La Crosse,43.8088,-91.2519,Male,California Institute of Technology,Physics,Physics,,,0,0,0,0,,,
Donald E. Williams,1978,8,Retired,2/13/1958,"Lafayette, IN",Lafayette,40.4173,-86.8906,Male,Purdue University,Mechanical Engineering,,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Dominic L. Gorie,1995,15,Retired,5/2/1957,"Lake Charles, LA",Lake Charles,30.2147,-93.2086,Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
Ronald E. McNair,1978,8,Deceased,10/21/1950,"Lake City, SC",Lake City,33.8686,-79.7526,Male,North Carolina A&T State College; MIT,Physics,Physics,,,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Andrew J. Feustel,2000,18,Active,8/25/1965,"Lancaster, PA",Lancaster,40.0394,-76.3071,Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,,,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",,
William S. McArthur Jr. ,1990,3,Management,7/26/1951,"Laurinburg, NC",Laurinburg,34.7647,-79.4703,Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
Michael S. Hopkins,2009,20,Active,12/28/1968,"Lebanon, MO",Lebanon,37.6754,-92.664,Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13,ISS-37/38 (Soyuz),,
Loren W. Acton,,,Retired,3/7/1936,"Lewiston, MT",Lewiston,43.167,-78.967,Male,Montana State University; University of Colorado,Engineering Physics,Solar Physics,,,1,190,0,0,STS 51-F (Challenger),,
