Name,Year,Group,Status,Birth Date,Birth Place,Birth Place Copy,latitue,logtitude,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
E. Michael Fincke,1996,16,Active,3/14/1967,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
Stephen N. Frick,1996,16,Management,9/30/1961,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
Terry J. Hart,1978,8,Retired,10/27/1946,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,,,1,167,0,0,STS 41-C (Challenger),,
James B. Irwin,1966,5,Deceased,3/17/1930,"Pittsburgh, PA",Pittsburgh,40.4422,-79.995,Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/1991,
Kenneth T. Ham,1998,17,Retired,12/12/1964,"Plainfield, NJ",Plainfield,40.615,-74.4173,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,612,0,0,"STS-124 (Discovery), STS-132 (Atlantis)",,
Michael P. Anderson,1995,15,Deceased,12/25/1959,"Plattsburgh, NY",Plattsburgh,44.6953,-73.4583,Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
Brent W. Jett,1992,14,Retired,10/5/1958,"Pontiac, MI",Pontiac,42.6388,-83.2927,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
Kevin A. Ford,2000,18,Active,7/7/1960,"Portland, IN",Portland,40.4339,-84.98,Male,University of Notre Dame; Troy State University; University of Florida; Air Force Institute of Technology,Aerospace Engineering,International Relations; Aerospace Engineering; Astronautical Engineering,Colonel,US Air Force (Retired),2,3781,0,0,"STS-128 (Discovery), ISS-33/34 (Soyuz)",,
S. David Griggs,1978,8,Deceased,9/7/1939,"Portland, OR",Portland,45.52,-122.6819,Male,US Naval Academy; George Washington University,,Business Administration,,,1,167,1,3,STS 51-D (Discovery),6/17/1989,
Kenneth D. Bowersox,1987,12,Retired,11/14/1956,"Portsmouth, VA",Portsmouth,36.8354258,-76.2982742,Male,US Naval Academy; Columbia University,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor/Soyuz)",,
Edward G. Givens Jr. ,1966,5,Deceased,1/5/1930,"Quanah, TX",Quanah,34.2956,-99.7419,Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0,,6/6/1967,
Charles J. Camarda,1996,16,Management,5/8/1952,"Queens, NY",Queens,40.75,-73.8667,Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,,,1,333,0,0,STS-114 (Discovery),,
William F. Readdy,1987,12,Retired,1/24/1952,"Quonset Point, RI","Quonset Point, RI",41.5901015,-71.4042218,Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Rex J. Walheim,1996,16,Active,10/10/1962,"Redwood, CA",Spruce Hill,38.3667,-122.4267,Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Jake Garn,,,Retired,10/12/1932,Richfield. UT,Richfield,38.7658,-112.0875,Male,University of Utah,Business Finance,,,,1,167,0,0,STS 51-D (Discovery),,
Joe F. Edwards Jr. ,1995,15,Retired,2/3/1958,"Richmond, VA",Richmond,37.5408,-77.4339,Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
Daniel M. Tani,1996,16,Retired,2/1/1961,"Ridley Park, PA",Ridley Park,39.8797,-75.3256,Male,MIT,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
C. Gordon Fullerton,1969,7,Retired,10/11/1936,"Rochester, NY",Rochester,43.1656,-77.6114,Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",,
Gary E. Payton,,,Retired,6/20/1948,"Rock Island, IL",Rock Island,41.4892,-90.5731,Male,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,Major,US Air Force,1,73,0,0,STS 51-C (Discovery),,
Michael Collins,1963,3,Retired,10/31/1930,"Rome, Italy",Rome,41.8906,12.4943,Male,US Military Academy,,,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
Terrence W. Wilcutt,1990,13,Management,10/31/1949,"Russellville, KY",Russellville,36.8454,-86.8875,Male,Western Kentucky University,Mathematics,,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Michael L. Coats,1978,8,Retired,1/16/1946,"Sacramento, CA",Sacramento,38.5556,-121.4689,Male,US Naval Academy; George Washington University; US Naval Postgraduate School,,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Stephen K. Robinson,1995,15,Retired,10/26/1955,"Sacramento, CA",Sacramento,38.5556,-121.4689,Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Christopher J. Cassidy,2004,19,Active,1/4/1970,"Salem, MA",Salem,42.5214,-70.8986,Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),,
John E. Blaha,1980,9,Retired,8/26/1942,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Air Force Academy; Purdue University,Engineering Science,Astronautical Engineering,Colonel,US Air Force (Retired),5,3861,0,0,"STS-29 (Discovery), STS-33 (Discovery), STS-43 (Atlantis), STS-58 (Columbia), STS-79/81 (Atlantis/Atlantis)",,
David R. Scott,1963,3,Retired,6/6/1932,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Military Academy; MIT,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Edward H. White II ,1962,2,Deceased,11/14/1930,"San Antonio, TX",San Antonio,29.4167,-98.5,Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1/27/1967,Apollo 1
Michael R. Clifford,1990,13,Retired,10/13/1952,"San Bernardino, CA",San Bernardino,34.1,-117.3,Male,US Military Academy; Georgia Institute of Technology,,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Stanley G. Love,1998,17,Management,6/8/1965,"San Diego, CA",San Diego,32.715,-117.1625,Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,1,306,2,15,STS-122 (Atlantis),,
William C. McCool,1996,16,Deceased,9/23/1961,"San Diego, CA",San Diego,32.715,-117.1625,Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
Michael J. McCulley,1984,10,Retired,8/4/1943,"San Diego, CA",San Diego,32.715,-117.1625,Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0,STS-34 (Atlantis),,
James H. Newman,1990,13,Retired,10/16/1956,"San Diego, CA",San Diego,32.715,-117.1625,Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
John W. Young,1962,2,Retired,9/24/1930,"San Francisco, CA",San Francisco,37.7749295,-122.4194155,Male,Georgia Institute of Technology,Aeronautical Engineering,,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
Franklin R. Chang-Diaz,1980,9,Retired,4/5/1950,"San Jose, Costa Rica",San Jose,9.9096,-84.0541,Male,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,,,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",,
Harrison H. Schmitt,1965,4,Retired,7/3/1935,"Santa Rita, NM",Santa Rita,32.8036,-108.0608,Male,California Institute of Technology; Harvard University,Geology,Geology,,,1,301,3,22,Apollo 17,,
L. Blaine Hammond Jr. ,1984,10,Retired,1/16/1952,"Savannah, GA",Savannah,32.0167,-81.1167,Male,US Air Force Academy; Georgia Institute of Technology,Engineering Science,Engineering Science,Colonel,US Air Force (Retired),2,462,0,0,"STS-39 (Discovery), STS-64 (Discovery)",,
Paul W. Richards,1996,16,Management,5/20/1964,"Scranton, PA",Scranton,41.4106,-75.6675,Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,,,1,307,1,6,STS-102 (Discovery),,
Richard F. Gordon Jr. ,1963,3,Retired,10/5/1929,"Seattle, WA",Seattle,47.6032,-122.3303,Male,University of Washington,Chemistry,,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Gregory C. Johnson,1998,17,Management,7/30/1954,"Seattle, WA",Seattle,47.6032,-122.3303,Male,University of Washington,Aerospace Engineering,,Captain,US Navy (Retired),1,309,0,0,STS-125 (Atlantis),,
Stephen S. Oswald,1985,11,Retired,6/30/1951,"Seattle, WA",Seattle,47.6032,-122.3303,Male,US Naval Academy,Aerospace Engineering,,,,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
Shannon W. Lucid,1978,8,Retired,1/14/1943,"Shanghai, China",Shanghai,31.22222,121.45806,Female,University of Oklahoma,Chemistry,Biochemistry,,,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
L. Gordon Cooper Jr. ,1959,1,Deceased,3/6/1927,"Shawnee, OK",Shawnee,35.3425,-96.9339,Male,Air Force Institute of Technology,Aeronautical Engineering,,Colonel,US Air Force (Retired),2,225,0,0,"Mercury 9, Gemini 5",10/4/2004,
Donald R. Pettit,1996,16,Active,4/20/1955,"Silverton, OR",Silverton,45.0067,-122.7825,Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,,,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
Michael E. Fossum,1998,17,Active,12/19/1957,"Sioux Falls, SD",Sioux Falls,43.5473,-96.7313,Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),,US Air Force Reserves (Retired),3,4651,7,48,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Lodewijk van den Berg,,,Retired,3/24/1932,"Sluiskil, Netherlands",Sluiskil,51.2781,3.8383,Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,,,1,168,0,0,STS 51-B (Challenger),,
Janice E. Voss,1990,13,Deceased,10/8/1956,"South Bend, IN",South Bend,41.6725,-86.2553,Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,
Mary L. Cleave,1980,9,Retired,2/5/1947,"Southampton, NY",Southampton,40.8853,-72.3953,Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,,,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Donald K. Slayton,1959,1,Deceased,3/1/1924,"Sparta, WI",Sparta,43.9431,-90.8117,Male,University of Minnesota,Aeronautical Engineering,,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,6/13/1993,
Jerome Apt III ,1985,11,Retired,4/18/1949,"Springfield, MA",Springfield,42.1124,-72.5475,Male,Harvard University; MIT,Physics,Physics,,,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)",,
Edward T. Lu,1995,15,Retired,7/1/1963,"Springfield, MA",Springfield,42.1124,-72.5475,Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,,,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
Janet L. Kavandi,1995,15,Management,7/17/1959,"Springfield, MO",Springfield,37.195,-93.2861,Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,,,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
Ronald E. Evans Jr. ,1966,5,Deceased,11/10/1933,"St. Francis, KS",Saint Francis,39.7714,-101.8008,Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1,Apollo 17,4/6/1990,
Thomas D. Akers,1987,12,Retired,5/20/1951,"St. Louis, MO",St. Louis,38.6270025,-90.1994042,Male,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)",,
Robert C. Springer,1980,9,Retired,5/21/1942,"St. Louis, MO",St. Louis,38.6270025,-90.1994042,Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
Duane G. Carey,1996,16,Retired,4/30/1957,"St. Paul, MN",Saint Paul,44.9437,-93.0943,Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,2/7/1963,"St. Paul, MN",Saint Paul,44.9437,-93.0943,Female,MIT,Mechanical Engineering,,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Thomas H. Marshburn,2004,19,Active,8/29/1960,"Statesville, NC",Statesville,35.7828,-80.8874,Male,Davidson College; University of Virginia; Wake Forest University; University of Texas Medical Branch-Galveston,Physics,Engineering Physics; Medicine; Medical Science,,,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",,
Byron K. Lichtenberg,,,Retired,2/19/1948,"Stroudsburg, PA",Stroudsburg,40.9845,-75.1974,Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,,,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",,
Bonnie J. Dunbar,1980,9,Retired,3/3/1949,"Sunnyside, WA",Sunnyside,46.3238,-120.013,Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,,,5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-50 (Columbia), STS-71 (Atlantis), STS-89 (Endeavor)",,
Jeffrey N. Williams,1996,16,Active,1/18/1958,"Superior, WI",Superior,46.7206,-92.0979,Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Paul D. Scully-Power,,,Retired,5/28/1944,"Sydney, Australia",Sydney,-33.8728,151.2053,Male,University of Sydney,Applied Mathematics,,,,1,197,0,0,STS 41-G (Challenger),,
Lawrence J. Delucas,,,Retired,7/11/1950,"Syracuse, NY",Syracuse,43.0469,-76.1444,Male,University of Alabama at Birmingham,Chemistry; Physiological Optics,Chemistry; Biochemistry; Optometry,,,1,331,0,0,STS-50 (Columbia),,
Jeanette J. Epps,2009,20,Active,11/3/1970,"Syracuse, NY",Syracuse,43.0469,-76.1444,Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,,,0,0,0,0,,,
Steven R. Swanson,1998,17,Active,12/3/1960,"Syracuse, NY",Syracuse,43.0469,-76.1444,Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
Kjell N. Lindgren,2009,20,Active,1/23/1973,"Taipei, Taiwan",Taipei,25.04776,121.53185,Male,US Air Force Academy; University of Colorado; Colorado State University; University of Minnesota; University of Texas Medical Branch-Galveston,Biology,Medicine; Cardiovascular Physiology; Health Informatics; Public Health,,,1,3400,2,15,ISS-44/45 (Soyuz),,
Samuel T. Durrance,,,Retired,9/17/1943,"Tallahassee, FL",Tallahassee,30.4407,-84.2783,Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",,
Bernard A. Harris Jr. ,1990,13,Retired,6/26/1956,"Temple, TX",Temple,31.0936,-97.3622,Male,University of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
Robert Cenker,,,Retired,11/5/1948,"Uniontown, PA",Uniontown,39.9,-79.7244,Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,,,1,146,0,0,STS 61-C (Columbia),,
Mark N. Brown,1984,10,Retired,11/18/1951,"Valparaiso, IN",Valparaiso,41.4761,-87.0569,Male,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",,
Michael R. Barratt,2000,18,Active,4/16/1959,"Vancouver, WA",Vancouver,45.6333,-122.6,Male,University of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,,,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
Mark C. Lee,1984,10,Retired,8/14/1952,"Viroqua, WI",Viroqua,43.5567,-90.8878,Male,US Air Force Academy; MIT,Civil Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
Charles J. Precourt,1990,13,Retired,6/29/1955,"Waltham, MA",Waltham,42.3806,-71.235,Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
Neil A. Armstrong,1962,2,Deceased,8/5/1930,"Wapakoneta, OH",Wapakoneta,40.5689,-84.1941,Male,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,,,2,205,1,2,"Gemini 8, Apollo 11",8/25/2012,
Ronald A. Parise,,,Deceased,5/24/1951,"Warren, OH",Warren,41.2361,-80.8162,Male,Youngstown State University; University of Florida,Physics,Astronomy,,,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",5/9/2008,
James C. Adamson,1984,10,Retired,3/3/1946,"Warsaw, NY",Warsaw,42.74,-78.1331,Male,US Military Academy; Princeton University,Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)",,
Alvin B. Drew Jr. ,2000,18,Active,11/5/1962,"Washington, DC",Washington,38.9071923,-77.0368707,Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",,
Frederick D. Gregory,1978,8,Retired,1/7/1941,"Washington, DC",Washington,38.89511,-77.03637,Male,US Air Force Academy; George Washington University,,Information Systems,Colonel,US Air Force (Retired),3,455,0,0,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
Lisa M. Nowak,1996,16,Retired,5/10/1963,"Washington, DC",Washington,38.9071923,-77.0368707,Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0,STS-121 (Discovery),,
Robert L. Stewart,1978,8,Retired,8/13/1942,"Washington, DC",Washington,38.9071923,-77.0368707,Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Richard A. Mastracchio,1996,16,Active,2/11/1960,"Waterbury, CT",Waterbury,41.5543,-73.0431,Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,,,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,
Daniel C. Brandenstein,1978,8,Retired,1/17/1943,"Watertown, WI",Watertown,43.2,-88.7167,Male,University of Wisconsin,Mathematics & Physics,,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
Thomas P. Stafford,1962,2,Retired,9/17/1930,"Weatherford, OK",Weatherford,35.5387,-98.6876,Male,US Naval Academy,,,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
Yvonne D. Cagle,1996,16,Management,4/24/1959,"West Point, NY",West Point,41.3667,-74.05,Female,San Francisco State University,Biochemistry,,Colonel,US Air Force,0,0,0,0,,,
John B. Herrington,1996,16,Retired,9/14/1958,"Wetumka, OK",Wetumka,35.2394,-96.2417,Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),,
Alan L. Bean,1963,3,Retired,3/15/1932,"Wheeler, TX",Wheeler,35.4452,-100.2722,Male,University of Texas,Aeronautical Engineering,,Captain,US Navy (Retired),2,1671,3,10,"Apollo 12, Skylab 3",,
Richard M. Mullane,1978,8,Retired,9/10/1945,"Wichita Falls, TX",Wichita Falls,33.9098,-98.5009,Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Nancy J. Currie,1990,13,Management,12/29/1958,"Wilmington, DE",Wilmington,39.7458,-75.5467,Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
Donald H. Peterson,1969,7,Retired,10/22/1933,"Winona, MS",Winona,33.4889,-89.7314,Male,US Military Academy; US Air Force Institute of Technology,,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),,
Charles D. Gemar,1985,11,Retired,8/4/1955,"Yanktown, SD",Yankton,42.8817,-97.3925,Male,US Military Academy,Engineering,,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
Ronald J. Garan Jr. ,2000,18,Management,10/20/1961,"Yonkers, NY",Yonkers,40.9308,-73.8983,Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
